compressor,compressor_policy,llm_policy,outlier_precision,regular_precision,outlier_values,outlier0,outlier1,outlier2,k_values,k0,k1,k2,num_batches,num_samples,correct_count,avg_accuracy,avg_latency,avg_ce_loss,avg_payload_ratio,tp0_original_bytes,tp1_original_bytes,tp2_original_bytes,tp0_compressed_bytes,tp1_compressed_bytes,tp2_compressed_bytes,tp0_payload_ratio,tp1_payload_ratio,tp2_payload_ratio,avg_compression_ratio
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.0000,0.2500,0.2500",0.0000,0.2500,0.2500,"0.0781,0.2344,0.2969",0.0781,0.2344,0.2969,100,10000,8515,0.8515,0.023915085401386024,0.835822328031063,0.1540345947265625,655360000.0,327680000.0,163840000.0,51206400.0,76806396.0,48646400.0,0.0781,0.2344,0.2969,6.4920481127968
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.5000,0.0000,0.0000",0.5000,0.0000,0.0000,"0.3281,0.1094,0.1719",0.3281,0.1094,0.1719,100,10000,8330,0.833,0.026367609563749284,0.9890138718485832,0.24332029854910714,655360000.0,327680000.0,163840000.0,215046384.0,35846400.0,28166400.0,0.3281,0.1094,0.1719,4.109809193737196
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.7500,0.0000,0.0000",0.7500,0.0000,0.0000,"0.4531,0.1094,0.1719",0.4531,0.1094,0.1719,100,10000,8308,0.8308,0.026108284306246787,1.0012450125813483,0.31474886474609376,655360000.0,327680000.0,163840000.0,296966378.0,35846400.0,28166400.0,0.4531,0.1094,0.1719,3.1771361615766103
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"1.0000,0.0000,0.0000",1.0000,0.0000,0.0000,"0.5313,0.1094,0.1719",0.5313,0.1094,0.1719,100,10000,8297,0.8297,0.029031490511260926,1.0112174779176712,0.35939174107142857,655360000.0,327680000.0,163840000.0,348166400.0,35846400.0,28166400.0,0.5313,0.1094,0.1719,2.7824790770616277
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.0000,0.7500,0.0000",0.0000,0.7500,0.0000,"0.0781,0.4697,0.1719",0.0781,0.4697,0.1719,100,10000,8263,0.8263,0.026830870986450463,0.9667638912796974,0.20339767368861608,655360000.0,327680000.0,163840000.0,51206400.0,153899924.0,28166400.0,0.0781,0.4697,0.1719,4.9164770759911045
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.0000,1.0000,0.0000",0.0000,1.0000,0.0000,"0.0781,0.5313,0.1719",0.0781,0.5313,0.1719,100,10000,8263,0.8263,0.029958781083114446,0.9667638912796974,0.22099888392857142,655360000.0,327680000.0,163840000.0,51206400.0,174086400.0,28166400.0,0.0781,0.5313,0.1719,4.52490972906093
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.0000,0.5000,0.0000",0.0000,0.5000,0.0000,"0.0781,0.3594,0.1719",0.0781,0.3594,0.1719,100,10000,8259,0.8259,0.026697239277418704,0.9661443319916725,0.17189173932756696,655360000.0,327680000.0,163840000.0,51206400.0,117766398.0,28166400.0,0.0781,0.3594,0.1719,5.817615226374209
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.0000,0.2500,0.0000",0.0000,0.2500,0.0000,"0.0781,0.2344,0.1719",0.0781,0.2344,0.1719,100,10000,8173,0.8173,0.026849287308286875,1.0178722369670867,0.13617745186941965,655360000.0,327680000.0,163840000.0,51206400.0,76806396.0,28166400.0,0.0781,0.2344,0.1719,7.343359611096986
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.2500,0.0000,0.0000",0.2500,0.0000,0.0000,"0.2031,0.1094,0.1719",0.2031,0.1094,0.1719,100,10000,8102,0.8102,0.026208076456096022,1.1481447738409043,0.17189173060825894,655360000.0,327680000.0,163840000.0,133126388.0,35846400.0,28166400.0,0.2031,0.1094,0.1719,5.817615521476125
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.0000,0.0000,0.7500",0.0000,0.0000,0.7500,"0.0781,0.1094,0.4517",0.0781,0.1094,0.4517,100,10000,7640,0.764,0.028378526715096088,1.4100831359624864,0.14043617989676338,655360000.0,327680000.0,163840000.0,51206400.0,35846400.0,74010646.0,0.0781,0.1094,0.4517,7.120672185295228
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.0000,0.0000,0.5000",0.0000,0.0000,0.5000,"0.0781,0.1094,0.4219",0.0781,0.1094,0.4219,100,10000,7640,0.764,0.028625557394698263,1.4100896137952805,0.13617745535714285,655360000.0,327680000.0,163840000.0,51206400.0,35846400.0,69126400.0,0.0781,0.1094,0.4219,7.343359423021759
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.0000,0.0000,1.0000",0.0000,0.0000,1.0000,"0.0781,0.1094,0.5313",0.0781,0.1094,0.5313,100,10000,7640,0.764,0.030241000612732022,1.4100831359624864,0.15180245535714285,655360000.0,327680000.0,163840000.0,51206400.0,35846400.0,87046400.0,0.0781,0.1094,0.5313,6.587508730654707
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.0000,0.0000,0.2500",0.0000,0.0000,0.2500,"0.0781,0.1094,0.2969",0.0781,0.1094,0.2969,100,10000,7636,0.7636,0.027880959967151283,1.423828535079956,0.11832031075613839,655360000.0,327680000.0,163840000.0,51206400.0,35846400.0,48646398.0,0.0781,0.1094,0.2969,8.45163432727141
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.0000,0.0000,0.0000",0.0000,0.0000,0.0000,"0.0781,0.1094,0.1719",0.0781,0.1094,0.1719,100,10000,7132,0.7132,0.030455213135574012,1.8256141757965088,0.10046316964285715,655360000.0,327680000.0,163840000.0,51206400.0,35846400.0,28166400.0,0.0781,0.1094,0.1719,9.953896572793424
